STATE,ZIPCODE,Number of returns,Adjusted gross income (AGI),Avg AGI,Number of returns with total income,Total income amount,Avg total income,Number of returns with taxable income,Taxable income amount,Avg taxable income
AL,35004,4930,255534,51.83245436,4930,258024,52.33752535,4020,163859,40.76094527
AL,35005,3300,128387,38.90515152,3300,129390,39.20909091,2440,70760,29
AL,35006,1230,58302,47.4,1230,58585,47.6300813,940,36341,38.6606383
AL,35007,11990,643708,53.68707256,11990,651350,54.32443703,9280,414878,44.70668103
AL,35010,8320,378497,45.49242788,8320,382106,45.92620192,5610,226514,40.37682709
AL,35014,1610,67205,41.74223602,1610,67885,42.16459627,1180,38277,32.43813559
AL,35016,7030,329461,46.86500711,7030,333226,47.40056899,5080,204874,40.32952756
AL,35019,930,34909,37.53655914,930,35392,38.05591398,650,19152,29.46461538
AL,35020,9970,260241,26.10240722,9970,262475,26.32647944,5520,110968,20.10289855
AL,35022,9490,516329,54.40769231,9490,521539,54.95669125,7400,327603,44.27067568
AL,35023,10230,476432,46.57204301,10230,480458,46.9655914,7960,291768,36.65427136
AL,35031,2970,110967,37.36262626,2970,112152,37.76161616,2000,59275,29.6375
AL,35033,1340,66702,49.77761194,1340,67437,50.3261194,1010,41766,41.35247525
AL,35034,1440,51658,35.87361111,1440,52030,36.13194444,950,27832,29.29684211
AL,35035,550,30894,56.17090909,550,31542,57.34909091,390,20707,53.09487179
AL,35040,7130,355685,49.88569425,7130,359868,50.47237027,5720,221987,38.80891608
AL,35042,2220,95692,43.1045045,2220,96503,43.46981982,1590,56177,35.33144654
AL,35043,4550,359323,78.97208791,4550,363943,79.98747253,3790,253356,66.84854881
AL,35044,3160,123233,38.99778481,3160,124406,39.36898734,2160,70753,32.75601852
AL,35045,5650,234349,41.47769912,5650,236772,41.90654867,3870,134635,34.78940568
AL,35046,2480,118532,47.79516129,2480,119903,48.34798387,1800,73033,40.57388889
AL,35049,1540,71160,46.20779221,1540,71762,46.5987013,1150,42489,36.94695652
AL,35051,3400,183608,54.00235294,3400,186487,54.84911765,2500,119268,47.7072
AL,35053,1010,55033,54.48811881,1010,56083,55.52772277,770,35690,46.35064935
AL,35054,1730,107790,62.30635838,1730,109059,63.03988439,1320,72592,54.99393939
AL,35055,7720,362457,46.9503886,7720,367096,47.55129534,5600,222671,39.76267857
AL,35057,5060,244449,48.31007905,5060,247712,48.95494071,3680,152808,41.52391304
AL,35058,4130,190590,46.14769976,4130,193500,46.85230024,2970,115010,38.72390572
AL,35061,650,22179,34.12153846,650,22338,34.36615385,450,11823,26.27333333
AL,35062,3220,165197,51.30341615,3220,166756,51.78757764,2490,103810,41.69076305
AL,35063,1250,50527,40.4216,1250,50886,40.7088,890,28719,32.26853933
AL,35064,4740,157413,33.20949367,4740,158799,33.50189873,3120,81308,26.06025641
AL,35068,3600,162681,45.18916667,3600,164131,45.59194444,2790,98774,35.40286738
AL,35071,7290,425459,58.36200274,7290,429825,58.96090535,5970,283760,47.53098827
AL,35072,1840,66217,35.9875,1840,66695,36.24728261,1290,34954,27.09612403
AL,35073,1000,38261,38.261,1000,38479,38.479,740,21137,28.56351351
AL,35077,5030,201044,39.96898608,5030,203309,40.41928429,3610,115801,32.07783934
AL,35078,910,42586,46.7978022,910,43389,47.68021978,620,26527,42.78548387
AL,35079,3400,167017,49.12264706,3400,168362,49.51823529,2630,101573,38.62091255
AL,35080,7210,492143,68.25839112,7210,497600,69.01525659,6070,336722,55.47314662
AL,35083,1210,48455,40.04545455,1210,49027,40.51818182,820,27906,34.03170732
AL,35085,3350,142112,42.42149254,3350,143261,42.76447761,2380,81522,34.25294118
AL,35087,840,31068,36.98571429,840,31493,37.49166667,580,17245,29.73275862
AL,35089,770,22905,29.74675325,770,23105,30.00649351,510,10998,21.56470588
AL,35091,1120,70204,62.68214286,1120,70656,63.08571429,950,46106,48.53263158
AL,35094,6370,330634,51.90486656,6370,334785,52.55651491,4830,212942,44.0873706
AL,35096,3390,155609,45.90235988,3390,156911,46.28643068,2520,93987,37.29642857
AL,35097,740,33952,45.88108108,740,34245,46.27702703,580,20512,35.36551724
AL,35098,550,21952,39.91272727,550,22232,40.42181818,390,12083,30.98205128
AL,35111,6840,417181,60.99137427,6840,421283,61.59108187,5580,277750,49.77598566
AL,35114,2930,179624,61.30511945,2930,181495,61.94368601,2350,118288,50.33531915
AL,35115,5180,211447,40.81988417,5180,214105,41.33301158,3640,123105,33.82005495
AL,35116,1960,109350,55.79081633,1960,110123,56.18520408,1600,70683,44.176875
AL,35117,2690,159813,59.41003717,2690,161475,60.02788104,2240,105656,47.16785714
AL,35118,1380,62321,45.16014493,1380,62848,45.54202899,1030,37364,36.27572816
AL,35120,5640,278387,49.35939716,5640,281075,49.83599291,4390,169669,38.64897494
AL,35121,5920,287092,48.49527027,5920,290941,49.14543919,4200,177565,42.27738095
AL,35124,11530,797409,69.15949696,11530,810227,70.27120555,9210,559641,60.76449511
AL,35125,4340,178037,41.02235023,4340,179965,41.46658986,3100,103512,33.39096774
AL,35126,9560,494340,51.70920502,9560,499321,52.23023013,7610,309972,40.73219448
AL,35127,4290,212066,49.43263403,4290,213833,49.84452214,3430,128714,37.52594752
AL,35128,3950,218667,55.35873418,3950,221123,55.98050633,3070,143466,46.73159609
AL,35130,1230,51474,41.84878049,1230,51785,42.10162602,910,30375,33.37912088
AL,35131,1530,60291,39.40588235,1530,60741,39.7,1100,33702,30.63818182
AL,35133,1570,71082,45.27515924,1570,71806,45.73630573,1190,43088,36.20840336
AL,35135,820,40570,49.47560976,820,40963,49.95487805,630,26106,41.43809524
AL,35136,690,28618,41.47536232,690,28817,41.76376812,510,17495,34.30392157
AL,35143,1190,58116,48.83697479,1190,58739,49.3605042,870,36528,41.9862069
AL,35146,4370,255237,58.40663616,4370,258347,59.11830664,3510,165903,47.26581197
AL,35147,2240,145253,64.84508929,2240,147215,65.72098214,1830,97801,53.4431694
AL,35148,1160,47291,40.76810345,1160,47897,41.29051724,820,27103,33.05243902
AL,35150,7280,289009,39.69903846,7280,291829,40.0864011,5090,168685,33.14047151
AL,35151,2900,133332,45.97655172,2900,134435,46.35689655,2220,81344,36.64144144
AL,35160,9790,371999,37.99785495,9790,375569,38.36251277,6670,207506,31.11034483
AL,35171,1330,63837,47.99774436,1330,64395,48.41729323,1030,38236,37.1223301
AL,35172,1170,45220,38.64957265,1170,45596,38.97094017,840,24866,29.60238095
AL,35173,12130,924459,76.21261336,12130,936228,77.18285243,10070,648728,64.42184707
AL,35175,2080,110298,53.02788462,2080,111450,53.58173077,1580,72223,45.71075949
AL,35176,340,14143,41.59705882,340,14372,42.27058824,250,8505,34.02
AL,35178,1470,61368,41.74693878,1470,61942,42.13741497,1060,35840,33.81132075
AL,35179,3760,169928,45.19361702,3760,171756,45.67978723,2780,102308,36.80143885
