Brewery,Borough,Neighborhood,Name,Style,Alcohol by Volume,RatingsCount,Rating
Alewife Taproom,Queens,LIC,Frau Holle,German Doppelbock,7.1,1,4.47
Alewife Taproom,Queens,LIC,Scullery 040 - Sour Lager,American Light Lager,5.76,1,3.77
Alewife Taproom,Queens,LIC,Scullery 041 - NEIPA,New England IPA,8.3,1,4
Alewife Taproom,Queens,LIC,Scullery NEIPA,New England IPA,7.2,1,4.02
Alewife Taproom,Queens,LIC,Thousand Stars,German Pilsner,4.9,10,3.78
Alewife Taproom,Queens,LIC,Metanoia,American IPA,4.5,11,3.99
Alewife Taproom,Queens,LIC,Self Decapitation,American Imperial IPA,8.5,11,3.91
Alewife Taproom,Queens,LIC,Electric Rhino,American IPA,4.6,18,3.54
Alewife Taproom,Queens,LIC,DDH Death to Ego,American IPA,6.1,2,3.84
Alewife Taproom,Queens,LIC,Lupulin Vibrations: Mosaic,American Imperial IPA,7,2,3.9
Alewife Taproom,Queens,LIC,One Love,American Lager,5.5,2,4.5
Alewife Taproom,Queens,LIC,Summer Fridays,American IPA,4.1,2,3.62
Alewife Taproom,Queens,LIC,Zea Mays,American Adjunct Lager,4.8,2,3.41
Alewife Taproom,Queens,LIC,Dimensional Observer - Hazy IPA,American IPA,6.8,3,3.94
Alewife Taproom,Queens,LIC,Lupulin Vibrations Loral,American Imperial IPA,7.6,3,4.47
Alewife Taproom,Queens,LIC,Death to Ego,American IPA,6.1,35,3.92
Alewife Taproom,Queens,LIC,Lupulin Vibrations: Simcoe,American Imperial IPA,7,5,3.83
Alewife Taproom,Queens,LIC,Alien Technology,Russian Imperial Stout,10,6,4.25
Alewife Taproom,Queens,LIC,Forged in Fire,German Märzen / Oktoberfest,4.8,6,3.56
Alewife Taproom,Queens,LIC,Lupulin Vibrations Rotational IPA: Lemondrop,American Imperial IPA,7.4,6,4.12
Alewife Taproom,Queens,LIC,Meadow Maker,New England IPA,7.5,8,3.93
Big aLICe Brewing,Queens,LIC,As Cool As You Please,American Imperial IPA,7.8,1,3.74
Big aLICe Brewing,Queens,LIC,Big aLICe / Strong Rope / Endless Life - Agri/Culture,American IPA,7,1,3.67
Big aLICe Brewing,Queens,LIC,Big Bones,Belgian Dark Ale,7.5,1,3.89
Big aLICe Brewing,Queens,LIC,Blackberry Pomegranate Sour,Fruit and Field Beer,4.5,1,4.11
Big aLICe Brewing,Queens,LIC,Fourth Barrett,Belgian Saison,6.2,1,3.65
Big aLICe Brewing,Queens,LIC,Freedom Bock,German Maibock,4.5,1,3.75
Big aLICe Brewing,Queens,LIC,Green Door,Japanese Rice Lager,5.4,1,3.73
Big aLICe Brewing,Queens,LIC,Mango Sour,American Wild Ale,4.5,1,4.25
Big aLICe Brewing,Queens,LIC,Peach Gose,Fruit and Field Beer,5,1,3.75
Big aLICe Brewing,Queens,LIC,Sleep Now In The Fire - Islay Scotch Barrel-Aged,Smoke Porter,8,1,3.75
Big aLICe Brewing,Queens,LIC,Sour One,American Wild Ale,5.6,1,3.58
Big aLICe Brewing,Queens,LIC,Strawberry Guava Sour,Fruit and Field Beer,4.5,1,4.12
Big aLICe Brewing,Queens,LIC,Smoked Saison,Belgian Saison,7.1,10,3.8
Big aLICe Brewing,Queens,LIC,BQX,American Imperial IPA,8,11,3.9
Big aLICe Brewing,Queens,LIC,Batch #0087 - Sour Multigrain Stout,American Stout,6.2,12,3.92
Big aLICe Brewing,Queens,LIC,Queens Honey Brown,American Brown Ale,5.5,13,3.77
Big aLICe Brewing,Queens,LIC,Hibiscus Goes-uh,Leipzig Gose,4.2,16,3.67
Big aLICe Brewing,Queens,LIC,1898 IPA,American IPA,5.2,2,3.74
Big aLICe Brewing,Queens,LIC,1898 IPA W/Chinook & Centennial,American IPA,5.4,2,4.16
Big aLICe Brewing,Queens,LIC,Big aLICe / Mikkeller Brewing NYC - The Golden One,American Pale Wheat Ale,5.8,2,4.06
Big aLICe Brewing,Queens,LIC,Cranberry Winter White,Belgian Witbier,5.6,2,3.62
Big aLICe Brewing,Queens,LIC,Harmless Crush Brett Pale,American Pale Ale (APA),5.6,2,3.66
Big aLICe Brewing,Queens,LIC,Hop State of Mind: Vol 3,New England IPA,7.4,2,4.09
Big aLICe Brewing,Queens,LIC,Kindred Roots,American Pale Ale (APA),5.5,2,3.5
Big aLICe Brewing,Queens,LIC,Maple Porter,American Porter,7.1,2,4.27
Big aLICe Brewing,Queens,LIC,Northeast Corridor,Belgian Saison,6.8,2,4.16
Big aLICe Brewing,Queens,LIC,Queens Farmhouse,Belgian Saison,6,2,3.99
Big aLICe Brewing,Queens,LIC,S.M.A.S.H. Saison,Belgian Saison,4.2,2,3.63
Big aLICe Brewing,Queens,LIC,Strawberry Rhubarb Sour,American Wild Ale,4.2,2,4.01
Big aLICe Brewing,Queens,LIC,Valley of Ashes,American Barleywine,12.8,2,3.97
Big aLICe Brewing,Queens,LIC,Honey Wit,Belgian Witbier,5.1,20,3.77
